StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
117603,117970,,,,,,23.92794742,-36.06761344,1333.33333333333,13.24,-18.29,,9.78,-0.8446936830415,K5,1.371,1077.57199,-20.329,-784.98605,-6.7973e-05,8.6875e-05,-9.5559e-05
117604,117971,224167,,,,,23.92795581,43.30290561,212.314225053079,-4.57,-7.47,,8.62,1.98510453564448,A2,0.187,154.48164,-2.91404,145.61682,5.183e-06,-4.802e-06,-5.595e-06
117605,117972,224168,,,,,23.92816284,25.14434636,49.4559841740851,217.92,-32.75,,9.01,5.53890575627491,G5,0.924,44.76162,-0.84192,21.01385,4.318e-06,5.2174e-05,-7.107e-06
117606,117973,224203,,,,,23.9281877,77.91964045,174.520069808028,7.32,-7.65,,7.78,1.57077310983695,K0,1.050,36.51769,-0.68662,170.65532,6.444e-06,6.072e-06,-1.354e-06
117607,117974,,,,,,23.92854092,31.26915072,176.678445229682,119.24,28.94,,10.55,4.31408215594136,,0.801,150.98743,-2.82499,91.70653,-1.0953e-05,0.00010235,2.1186e-05
117608,117975,,,,,,23.92872536,-31.09823702,65.9630606860158,288.79,-83.59,,10.59,6.49349600648017,,1.008,56.47321,-1.05389,-34.07038,-1.208e-05,9.2587e-05,-2.2888e-05
117609,117976,224164,,,,,23.92880718,-53.81880544,302.114803625378,29.35,-7.06,,7.35,-0.050860031121406,A7IV,0.330,178.31971,-3.32395,-243.8532,-7.543e-06,4.3133e-05,-6.104e-06
117610,117977,224171,,,,,23.92900262,-09.06181964,313.479623824451,61.19,-61.39,,7.27,-0.211046584714095,G5,0.824,309.5136,-5.75361,-49.37305,-1.2962e-05,9.3245e-05,-9.2127e-05
117611,117978,224172,,,,,23.92936422,-13.15240762,138.121546961326,-27.87,-70.76,,6.60,0.898692830985735,K1III,1.172,134.47537,-2.48705,-31.42846,-1.1123e-05,-1.8458e-05,-4.6136e-05
117612,117979,224175,,,,,23.9299005,48.22039666,170.940170940171,-4.84,-56.31,,6.69,0.525779330410903,K0,1.094,113.87262,-2.09002,127.47234,3.4717e-05,-4.648e-06,-3.1089e-05
117613,117980,224173,,,,,23.9301992,-13.96662601,58.8235294117647,162.00,22.96,,7.30,3.45224460689137,F5/F6V,0.498,57.07496,-1.04309,-14.19745,2.424e-06,4.6159e-05,6.353e-06
117614,117981,224181,,,,,23.93052232,-23.60515767,383.141762452107,27.72,16.66,,9.53,1.6132025366914,F2V,0.531,351.02494,-6.38557,-153.42203,1.3325e-05,5.1252e-05,2.8354e-05
117615,117982,,,,,,23.93122543,27.17415260,568.181818181818,13.29,-14.18,,10.15,1.37756333907075,A2,0.217,505.38539,-9.10052,259.48672,1.8493e-05,3.6278e-05,-3.4746e-05
117616,117983,224184,,,,,23.93134757,-51.19113099,224.215246636771,-34.10,-28.56,,9.87,3.11667429356071,F3V,0.463,140.49847,-2.52547,-174.7177,-2.4852e-05,-3.6623e-05,-1.9455e-05
117617,117984,,,,,,23.93164642,49.90002515,421.940928270042,6.46,-2.95,,9.46,1.33374173005052,F2,0.385,271.73846,-4.86326,322.75176,4.851e-06,1.3128e-05,-3.886e-06
117618,117985,224193,,,,,23.93170889,-24.38066033,1298.7012987013,14.19,-8.74,,8.61,-1.95754637413759,G5V,0.867,1182.69803,-21.14721,-536.10001,-2.1113e-05,8.9728e-05,-5.0117e-05
117619,117986,224186,,,,,23.93184221,15.23030839,228.83295194508,80.67,-7.22,,6.45,-0.347592815147889,M3,1.560,220.76065,-3.93959,60.11432,3.7e-06,8.9436e-05,-7.727e-06
117620,117987,,,,,,23.93212903,67.11405799,10000000,19.97,-0.86,,11.04,-3.96,,1.310,3888365.28936,-69098.0234,9212808.52072,0,0,0
117621,117988,224190,,,,,23.93235536,-10.86575284,578.034682080925,36.52,-16.32,,8.60,-0.209769484356022,K2,1.179,567.58241,-10.05255,-108.96443,-6.807e-06,0.000102471,-4.4911e-05
117622,117989,224191,,,,,23.93277636,-20.46625766,144.927536231884,9.57,-17.26,,9.59,3.78424545368628,F2V,0.397,135.75843,-2.38947,-50.67473,-4.121e-06,6.797e-06,-1.136e-05
117623,117990,224204,,,,,23.9328822,21.16591425,80.3858520900322,17.77,14.66,,6.75,2.224101901774,A5,0.321,74.95135,-1.31713,29.0249,-1.94e-06,6.959e-06,5.327e-06
117624,117991,224194,,,,,23.93332258,-42.84810822,80.1924619085806,115.88,-22.26,,8.66,4.13933226739271,F5/F6V,0.517,58.78487,-1.02625,-54.53545,-5.097e-06,4.5144e-05,-6.344e-06
117625,117992,224196,,,,,23.93345642,-47.94359586,213.675213675214,-6.28,-6.78,,9.05,2.40122926537062,K1III,1.039,143.11115,-2.4934,-158.6508,-5.326e-06,-6.413e-06,-4.704e-06
117626,117993,224218,,,,,23.93362493,24.49197534,350.877192982456,17.67,-24.15,,8.72,0.994224300042553,K0,1.064,319.25682,-5.54827,145.46168,1.7549e-05,2.9755e-05,-3.7381e-05
117627,117994,224208,,,,,23.93372909,-12.48742818,120.481927710843,61.66,-43.58,,8.06,2.65539046188037,F3V,0.456,117.61404,-2.04077,-26.05125,-4.878e-06,3.6103e-05,-2.4851e-05
117628,117995,,,,,,23.93404661,16.30697794,2380.95238095238,25.71,-12.17,,9.05,-2.8337535480105,K5,1.446,2284.82865,-39.45506,668.53237,4.4558e-05,0.000296024,-0.000134817
117629,117996,224219,,,,,23.93453272,23.44687093,108.5776330076,-44.35,-40.77,,8.69,3.51129815098424,G0,0.491,99.59768,-1.7072,43.20288,8.137e-06,-2.3486e-05,-1.9687e-05
117630,117997,224216,,,,,23.93466875,31.07806242,98.135426889107,-2.21,-65.73,,7.47,2.51087092003213,F0,0.409,84.03724,-1.43748,50.65804,1.6121e-05,-1.327e-06,-2.6781e-05
117631,117998,224221,,,,,23.93468345,14.84227708,136.612021857923,70.44,38.33,,8.30,2.62255540529196,A0,0.283,132.0346,-2.25799,34.99441,-5.703e-06,4.6753e-05,2.4537e-05
117632,117999,224232,,,,,23.93470923,64.98337402,106.044538706257,21.26,47.81,,8.13,3.00255846368664,K0,0.913,44.83769,-0.76648,96.09598,-2.2082e-05,1.1308e-05,1.0393e-05
117633,118000,224226,,,,,23.93528182,-25.29845585,206.611570247934,-27.00,-25.08,,9.38,2.80422680822206,F6V,0.519,186.76948,-3.16477,-88.29204,-1.1191e-05,-2.6857e-05,-2.271e-05
117634,118001,224227,,,,,23.93529577,-25.90798615,769.230769230769,35.06,4.72,,8.88,-0.550283238465815,G8III,0.915,691.82141,-11.72025,-336.09782,9.903e-06,0.00013059,1.5831e-05
117635,118002,224225,,,,,23.93532659,-21.99209091,462.962962962963,14.11,12.07,,7.24,-1.08773124424534,M2III,1.623,429.21419,-7.26792,-173.36972,1.0678e-05,3.149e-05,2.5117e-05
117636,118003,224211,,,,,23.93535163,-52.78803605,140.056022408964,16.51,-18.89,,7.03,1.29849105888087,K0III,0.994,84.6889,-1.43348,-111.54112,-1.0023e-05,1.138e-05,-7.756e-06
117637,118004,224235,,,,,23.93543006,33.48751672,158.478605388273,15.06,-13.62,,7.08,1.08014679622067,B9,-0.022,132.15323,-2.23418,87.4414,5.968e-06,1.147e-05,-8.726e-06
117638,118005,224217,,,,,23.93544734,25.34066635,123.0012300123,78.49,59.07,,8.68,3.23045272797034,G0,0.505,111.15005,-1.87859,52.64445,-1.4281e-05,4.7049e-05,3.1832e-05
